,Media,Text,Date,Compound,Positive,Neutral,Negative
0,@BBC,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun¡­ https://t.co/y3MZaR8hsi",Mon Mar 19 19:33:04 +0000 2018,-0.3818,0.0,0.89,0.11
1,@BBC,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca¡­ https://t.co/HWShPj9ngi",Mon Mar 19 18:33:05 +0000 2018,0.1531,0.175,0.709,0.116
2,@BBC,"?? @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",Mon Mar 19 18:03:01 +0000 2018,-0.1027,0.0,0.92,0.08
3,@BBC,?Pop band @FifthHarmony have announced they're taking a break to pursue solo careers ?https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,Mon Mar 19 17:30:08 +0000 2018,0.0,0.0,1.0,0.0
4,@BBC,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",Mon Mar 19 17:00:05 +0000 2018,-0.7096,0.144,0.442,0.414
5,@BBC,Here are the latest snow scenes from around the UK. ??? https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,Mon Mar 19 16:33:29 +0000 2018,0.0,0.0,1.0,0.0
6,@BBC,'Flabbergasted'. ?This is the incredible moment when eight London teenagers heard a live opera singer for the first¡­ https://t.co/jNki4Z61SE,Mon Mar 19 15:02:02 +0000 2018,0.0,0.0,1.0,0.0
7,@BBC,"Meet the dancing slum kids tipped for stardom by Rihanna ?
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",Mon Mar 19 14:30:08 +0000 2018,0.0,0.0,1.0,0.0
8,@BBC,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! ? 

Yesterday we did an amazing 431 million steps ¨C can we do even better¡­",Mon Mar 19 13:44:55 +0000 2018,0.6588,0.212,0.788,0.0
9,@BBC,"? ""There's always that voice in the back of your head that says you're not good enough"". 

 ? @CarrieHFletcher on b¡­ https://t.co/0AsBxFFiQA",Mon Mar 19 13:03:04 +0000 2018,-0.3412,0.0,0.888,0.112
10,@BBC,RT @BBCRadioScot: This must have been some buzz! ??? https://t.co/0gqtbQBN1i,Mon Mar 19 12:55:17 +0000 2018,0.0,0.0,1.0,0.0
11,@BBC,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,Mon Mar 19 12:30:05 +0000 2018,0.0,0.0,1.0,0.0
12,@BBC,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,Mon Mar 19 11:50:58 +0000 2018,-0.0516,0.0,0.893,0.107
13,@BBC,"Have you got a passion for plants? ?????

Test your knowledge of all things foliage in this quiz. ?¡­ https://t.co/evogV5ljAc",Mon Mar 19 11:33:04 +0000 2018,0.4588,0.143,0.857,0.0
14,@BBC,"RT @BBCSport: ? The Commonwealth Games are almost upon us! ?

Scotland's Lynsey Sharp has given us the inside track on preparing for succes¡­",Mon Mar 19 10:53:19 +0000 2018,0.0,0.0,1.0,0.0
15,@BBC,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ????https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,Mon Mar 19 10:33:03 +0000 2018,0.5106,0.163,0.837,0.0
16,@BBC,"RT @BBCR1: Desperately searching for any signs of spring like... ?

#MondayMotivation https://t.co/9jo3h4C7bu",Mon Mar 19 09:58:24 +0000 2018,-0.3818,0.0,0.809,0.191
